run_dir	provider	model	schema	rules_mode	competition	problem_id	kattis_id	remote_ac	score	max_score	accuracy_pct	Communication	Planning	CS	turns_used	max_turns	api_calls	tokens	elapsed_sec	wrong_subs	penalty_min	submitted	graded	status
icpc_kattis_5_recovery_gate_30turn_20260902	perplexity	openai/gpt-5.4-mini	open_table_coach	enforced	icpc	icpc_wf_2012_bottles	bottles	1	1	1	100.0	5.0	4.0	4.5	4	30	16	3614	71.2	0	0	True	True	ok
icpc_kattis_5_recovery_gate_30turn_20260902	perplexity	openai/gpt-5.4-mini	open_table_coach	enforced	icpc	icpc_wf_2012_bustour	bustour	0	0	1	0.0	2.0	3.0	2.5	30	30	106	23637	415.4	5	100	False	False	ok
icpc_kattis_5_recovery_gate_30turn_20260902	perplexity	openai/gpt-5.4-mini	open_table_coach	enforced	icpc	icpc_wf_2012_fibonacci	fibonacci	1	1	1	100.0	4.0	4.0	4.0	10	30	30	6704	139.1	1	20	True	True	ok
icpc_kattis_5_recovery_gate_30turn_20260902	perplexity	openai/gpt-5.4-mini	open_table_coach	enforced	icpc	icpc_wf_2012_flightpath	flightpath	0	0	1	0.0	3.0	3.0	3.0	30	30	82	21439	342.5	6	120	False	False	ok
icpc_kattis_5_recovery_gate_30turn_20260902	perplexity	openai/gpt-5.4-mini	open_table_coach	enforced	icpc	icpc_wf_2012_infiltration2	infiltration2	0	0	1	0.0	2.0	3.0	2.5	30	30	82	16886	296.0	5	100	False	False	ok
