run_dir	provider	model	schema	tasks	graded	score	max_score	macro_pct	mean_CS	api_calls	tokens	elapsed_sec	note
task_based_structured_gold_perplexity_20260829	perplexity	openai/gpt-5.4-mini	open_table_coach	32/32	32	491.34	1196.0	35.55	3.531	7834	782021	18149.6	complete 32/32
task_based_structured_gold_tinker_qwen35_35b_base_20260831	tinker	Qwen/Qwen3.5-35B-A3B-Base	open_table_coach	11/14	14	418.89	660.0	63.53	2.536	4512	8214399	125586.1	partial 14 graded (Qwen still incomplete vs 32)
icpc_kattis_5_recovery_gate_30turn_20260902	perplexity	openai/gpt-5.4-mini	open_table_coach	5/5	2	2	5	40.0	3.3	316	72280	1264.2	remote Kattis AC; recovery gate enabled
